sample,D,extractant,abbreviation,[extracant]_M,org_ligand,[org_ligand]_M,organic_diluent,acid,[acid]_M,T_K,contact_time,contact_time_units,additional_info
Am(III),4.5,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.25,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),13.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),24.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.75,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),40.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,1.0,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Eu(III),0.7,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.25,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Eu(III),0.5,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Eu(III),0.4,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.75,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Eu(III),0.4,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,1.0,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),0.4,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,,,toluene,HNO3,0.4,294.15,10,min,
Eu(III),0.002,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,,,toluene,HNO3,0.4,294.15,10,min,
Am(III),143.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.053,,15,min,0.25M NaNO3
Am(III),47.5,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.08,,15,min,0.25M NaNO3
Am(III),22.1,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.1,,15,min,0.25M NaNO3
Am(III),6.65,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.15,,15,min,0.25M NaNO3
Am(III),2.21,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.196,,15,min,0.25M NaNO3
Am(III),0.511,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.3,,15,min,0.25M NaNO3
Am(III),0.0931,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.5,,15,min,0.25M NaNO3
Am(III),84.5,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.053,,15,min,0.5M NaNO3
Am(III),30.9,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.078,,15,min,0.5M NaNO3
Am(III),14.7,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.1,,15,min,0.5M NaNO3
Am(III),4.32,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.154,,15,min,0.5M NaNO3
Am(III),1.43,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.2,,15,min,0.5M NaNO3
Am(III),0.383,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.3,,15,min,0.5M NaNO3
Am(III),0.0715,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.498,,15,min,0.5M NaNO3
Am(III),54.9,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.053,,15,min,1M NaNO3
Am(III),17.8,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.079,,15,min,1M NaNO3
Am(III),9.53,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.1,,15,min,1M NaNO3
Am(III),2.87,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.154,,15,min,1M NaNO3
Am(III),0.976,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.2,,15,min,1M NaNO3
Am(III),0.187,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.312,,15,min,1M NaNO3
Am(III),0.0453,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.49,,15,min,1M NaNO3
Cm(III),11.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.053,,15,min,0.25M NaNO3
Cm(III),4.42,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.078,,15,min,0.25M NaNO3
Cm(III),2.15,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.104,,15,min,0.25M NaNO3
Cm(III),0.75,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.152,,15,min,0.25M NaNO3
Cm(III),0.237,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.196,,15,min,0.25M NaNO3
Cm(III),0.0649,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.298,,15,min,0.25M NaNO3
Cm(III),0.0147,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.5,,15,min,0.25M NaNO3
Cm(III),7.87,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.053,,15,min,0.5M NaNO3
Cm(III),3.16,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.078,,15,min,0.5M NaNO3
Cm(III),1.58,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.103,,15,min,0.5M NaNO3
Cm(III),0.499,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.154,,15,min,0.5M NaNO3
Cm(III),0.21,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.2,,15,min,0.5M NaNO3
Cm(III),0.0576,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.3,,15,min,0.5M NaNO3
Cm(III),0.013,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.498,,15,min,0.5M NaNO3
Am,4000.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.01,294.15,10,min,
Am,200.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.05,294.15,10,min,
Am,30.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.1,294.15,10,min,
Am,2.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am,0.2,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.4,294.15,10,min,
Eu,200.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.01,294.15,10,min,
Eu,9.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.05,294.15,10,min,
Eu,0.8,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.1,294.15,10,min,
Eu,0.06,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu,0.006,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),0.04,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.1,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),0.5,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.25,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),2.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),5.01,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.8,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),7.08,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,1.0,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.003,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.1,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.02,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.25,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.03,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.13,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.8,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.2,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,1.0,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),0.5,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.1,toluene,HNO3,0.2,294.15,10,min,
Cm(III),15.4,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.053,,15,min,1M NaNO3
Cm(III),2.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.079,,15,min,1M NaNO3
Cm(III),1.02,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.1,,15,min,1M NaNO3
Cm(III),0.28,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.154,,15,min,1M NaNO3
Cm(III),0.133,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.2,,15,min,1M NaNO3
Cm(III),0.0365,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.312,,15,min,1M NaNO3
Cm(III),0.0107,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.49,,15,min,1M NaNO3
Am(III)γ,4.64,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.13,,15,min,0.5M NaNO3
Eu(III)γ,0.007,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.13,,15,min,0.5M NaNO3
Am(III)α,4.6,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.13,,15,min,0.5M NaNO3
Cm(III)α,0.63,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.13,,15,min,0.5M NaNO3
Cf(III)α,0.52,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.13,,15,min,0.5M NaNO3
Fe,0.06,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Y,0.53,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Zr,5.3,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Mo,0.7,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Tc,0.16,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Ru,0.02,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Rh,0.009,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Pd,0.08,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
La,0.43,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Ce,0.77,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Pr,1.0,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Nd,1.0,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Sm,1.1,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Eu,1.1,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Am,1.6,"2-ethylhexyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",2-EHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Am(III),5.5,"2,6-bis(5,6-dimethyl-1,2,4-triazin-3-yl)-4-methoxypyridine",4-MeO-BTP-4Me,0.1,DMDOHEMA,0.65,hydrogenated tetrapropene,HNO3,3.0,294.15,60,min,
Eu(III),2.5,"2,6-bis(5,6-dimethyl-1,2,4-triazin-3-yl)-4-methoxypyridine",4-MeO-BTP-4Me,0.1,DMDOHEMA,0.65,hydrogenated tetrapropene,HNO3,3.0,294.15,60,min,
Fe,0.06,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Y,1.2,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Zr,10.0,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Mo,1.8,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Tc,0.04,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Ru,0.01,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Rh,0.008,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Pd,0.1,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
La,1.0,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Ce,2.0,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Pr,2.7,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Nd,2.8,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Sm,3.4,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Eu,3.4,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Am,3.6,"6-methylheptyl(phenyl) N,N-diisobutylcarbamoylmethylphosphine oxide",6-MHɸD(iB)CMPO,0.25,,,Tetrachloroethylene,HNO3,3.0,298.15,1,min,
Eu(III),0.0146,2-ethylhexyl diamide amine,ADAAM(EH),0.04,,,n-Dodecane,HNO3,1.5,298.15,20,min,
Eu(III),0.025,2-ethylhexyl diamide amine,ADAAM(EH),0.06,,,n-Dodecane,HNO3,1.5,298.15,20,min,
Eu(III),0.0441,2-ethylhexyl diamide amine,ADAAM(EH),0.1,,,n-Dodecane,HNO3,1.5,298.15,20,min,
Eu(III),0.1,2-ethylhexyl diamide amine,ADAAM(EH),0.2,,,n-Dodecane,HNO3,1.5,298.15,20,min,
Eu(III),0.14,2-ethylhexyl diamide amine,ADAAM(EH),0.3,,,n-Dodecane,HNO3,1.5,298.15,20,min,
